[2025-02-03 18:47:46,008: INFO: 8438544: Downloading data from https://drive.google.com/file/d/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:54:12,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:54:12,787: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:54:12,796: INFO: common: created directory at: artifacts]
[2025-02-03 18:54:12,799: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:54:12,801: INFO: 683714379: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:54:48,668: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:54:48,670: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:54:48,672: INFO: common: created directory at: artifacts]
[2025-02-03 18:54:48,674: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:54:48,675: INFO: 683714379: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:55:45,422: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:55:45,424: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:55:45,426: INFO: common: created directory at: artifacts]
[2025-02-03 18:55:45,427: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:55:45,429: INFO: 2415357302: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 18:55:54,717: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 18:55:54,720: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 18:55:54,722: INFO: common: created directory at: artifacts]
[2025-02-03 18:55:54,724: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 18:55:54,725: INFO: 2415357302: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:00:10,706: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 19:00:10,709: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 19:00:10,711: INFO: common: created directory at: artifacts]
[2025-02-03 19:00:10,712: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 19:00:10,715: INFO: 2415357302: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:05:23,531: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-02-03 19:05:23,534: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-03 19:05:23,535: INFO: common: created directory at: artifacts]
[2025-02-03 19:05:23,536: INFO: common: created directory at: artifacts/data_ingestion]
[2025-02-03 19:05:23,537: INFO: 4072621235: Downloading data from https://drive.google.com/drive/folders/1MqkmYpKtIBp2B4mcyJKkZVaF-6JsNaLY?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-02-03 19:08:12,224: INFO: common: yaml file: config\config.yaml loaded successfully]
